"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C2","10u","C_0402_1005Metric","107.99","-29.57","0","top"
"C3","0.1u","C_0603_1608Metric","120.5549","-38.5047","-90","top"
"C4","0.1u","C_0603_1608Metric","130.499","-38.479","-90","top"
"C5","10u","C_0402_1005Metric","113.1448","-49.4482","180","top"
"C6","0.1u","C_0402_1005Metric","113.1093","-50.8452","0","top"
"C7","10u","C_0402_1005Metric","130.83725","-33.79","0","top"
"C8","10u","C_0402_1005Metric","126.36","-39.46","0","top"
"C9","2.2u","C_0603_1608Metric","125.3397","-47.9369","0","top"
"C10","2.2u","C_0603_1608Metric","125.3651","-51.4548","180","top"
"C11","0.1u","C_0402_1005Metric","113.1093","-52.0644","0","top"
"C12","0.1u","C_0402_1005Metric","124.27","-44.673","0","top"
"C13","2.2n","C_0402_1005Metric","129.914","-44.8635","180","top"
"C14","0.1u","C_0402_1005Metric","122.3067","-51.7596","180","top"
"C15","2.2n","C_0402_1005Metric","129.914","-48.9275","180","top"
"C16","10u 6.3V","C_0402_1005Metric","113.1093","-53.2709","180","top"
"C17","10u 6.3V","C_0402_1005Metric","126.711","-45.181","-90","top"
"C18","10u","C_0402_1005Metric","122.294","-53.1439","0","top"
"D2","B5819W","D_SOD-123","59.92","-35.58","180","top"
"R1","220","R_0603_1608Metric","131.14","-85.415","-90","top"
"R2","1Meg","R_0603_1608Metric","131.3875","-32.002","0","top"
"R3","1Meg","R_0603_1608Metric","131.388","-29.843","180","top"
"R4","100k","R_0402_1005Metric","131.007","-36.32","0","top"
"R5","100k","R_0402_1005Metric","120.0195","-35.05","180","top"
"R6","470","R_0402_1005Metric","129.934","-47.594","180","top"
"R7","470","R_0402_1005Metric","129.934","-46.2605","180","top"
"R8","22R","R_0402_1005Metric","113.142","-44.292","180","top"
"R9","22R","R_0402_1005Metric","113.142","-45.435","180","top"
"R10","22R","R_0402_1005Metric","113.142","-47.26","180","top"
"R11","220","R_0603_1608Metric","67.68","-90.895","-90","top"
"U2","AMS1117-5","SOT-223","69.78","-35.32","-90","top"
"U3","74HC4051","HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm","96.89","-69.24","180","top"
"U4","LM358","SOIC-8_3.9x4.9mm_P1.27mm","125.165","-34.415","0","top"
"U5","PCM5102","TSSOP-20_4.4x6.5mm_P0.65mm","118.964","-47.594","180","top"
